objectid,title,subject,location,nationality,type,description,date,filename,size,creator,rights,identifier
obj_001,Preserved Bay Laurel Leaf,Laurus nobilis,"Venetian Lagoon, Northern Italy",Lido di Venezia,jpg,Large brown leaf featuring a shiny finish and small spots,2023,bayleaf.jpg,835 KB,"Kepford, Hannah",Hannah Kepford,OBJ001-BayLaurel-Venice-Lido
obj_002,Small Smooth Rock,Rocks,"Boundary Waters Canoe Area Wilderness, Northern Minnesota",,jpg,Small smooth brown stone with a red hue,2023,boundarywaters.jpg,543 KB,"Kepford, Hannah",Hannah Kepford,OBJ002-Rock-BWCA-MN
obj_003,Barnacle Rock,Rocks,"Birch Bay, Washington",,jpg,Small jagged rock featuring three barnacles,2020,barnacle.jpg,1.2 MB,"Kepford, Hannah",Hannah Kepford,OBJ003-BarnacleRock-BirchBay-WA
obj_004,Ponderosa Pinecone,Ponderosa Pine Cone,"Flagstaff, Arizona",,jpg,Small pinecone,2016,pinecone.jpg,253 KB,"Kepford, Hannah",Hannah Kepford,OBJ004-PondersosaPinecone-Flagstaff-AZ
obj_005,Fossilized Scales,Fossils,"Burlington, Iowa",,jpg,Black stone featuring scale imprints,2009,fossil.jpg,584 KB,"Kepford, Hannah",Hannah Kepford,OBJ005-FossilScales-Burlington-IA
obj_006,Saltwater Clamshell,Seashell,"Viareggio, Tuscany Italy",Città di Viareggio,jpg,"Saltwater clamshell featuring purple, pink, and cream colored rings",2023,clam.jpg,473 KB,"Kepford, Hannah",Hannah Kepford,OBJ006-Clamshell-Viareggio-Tuscany
obj_007,Smooth Terracotta,Terracotta,"Sedona, Arizona",,jpg,Smooth rectangular piece of terracotta featuring small dark spots,2019,redrock.jpg,553 KB,"Kepford, Hannah",Hannah Kepford,OBJ007-Terracotta-Sedona-AZ
obj_008,Preserved Bittersweet Spray,Celastrus orbiculatus,"Geode State Park, Iowa",,jpg,Woody vine featuring clusters of orange-red berries,2023,berries.jpg,801 KB,"Kepford, Hannah",Hannah Kepford,OBJ008-BittersweetSpray-GeodeStatePark-IA
obj_009,Ocean Tumbled Beach Rock,Rock,"Cannon Beach, Oregon",,jpg,Smooth stone featuring light green rings,2020,oceanrock.jpg,381 KB,"Kepford, Hannah",Hannah Kepford,OBJ009-BeachRock-CannonBeach-OR
obj_010,Polished Pyrite Sphere,Gemstone,"Telluride, Colorado",,jpg,Polished sphere of pyrite,2018,gemstone.jpg,498 KB,"Kepford, Hannah",Hannah Kepford,OBJ010-PyriteSphere-Telluride-CO
obj_011,Baby Spruce Pinecone,Spruce Pine Cone,"Des Moines, Iowa",,jpg,Baby pinecone,2023,pinecone2.jpg,1 MB,"Kepford, Hannah",Hannah Kepford,OBJ011-SprucePinecone-DesMoines-IA
obj_012,Purple Mussel Shell,Seashell,"Port Townsend, Washington",,jpg,Purple and pink mussel shell,2022,mussel.jpg,529 KB,"Kepford, Hannah",Hannah Kepford,OBJ012-PurpleMusselShell-PortTownsend-WA
